section,description,case_study
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.",The accused Manish Paul fired two rounds from a revolver at Harish in Kolkata due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Umesh Chandra in Bhopal. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.",The accused Amit Singh fired two rounds from a axe at Sameer in Kolkata due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,The High Court upheld the life sentence of Ramesh Sen for committing murder under Section 302. The victim Harish was brutally beaten to death in Hyderabad over an ancestral family feud on 4th July 2024.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Manish Paul: The accused was indicted under Section 302 for the murder of Seema in Pune. Eyewitness testimonies and the recovery of the hammer at the instance of the accused established guilt beyond reasonable doubt.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Vadodara. The accused Vikram Rathore was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,"In Obour, the accused Arjun Kapoor entered the victim Gopal's residence when she was alone on 10th October 2023 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.",The accused Rohan Das fired two rounds from a iron rod at Kiran in Indore due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"In the jurisdiction of Ahmedabad, the prosecution proved that Arjun Kapoor deliberately poisoned the meal of Mohan with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","A patrolling squad in Surat intercepted five individuals, including Amit Singh, on 15th August 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Harish Iyer in Pune. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"During a political rally in Surat on 30th December 2024, Amit Singh tried to strangulate Sandeep with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"The police busted an active criminal gang in Bhopal that specialized in highway thefts. The accused Pankaj Tripathi and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 30th December 2024, the accused Sunil Dutt intercepted the victim Geeta in Lucknow and stabbed him in the abdomen with a sickle. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","On 29th September 2024, the accused Sunil Dutt intercepted the victim Maya in Mumbai and stabbed him in the abdomen with a wooden stick. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The victim Vivek of Pune committed suicide after continuous harassment by her husband Suresh Sharma and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The victim Anita of Obour committed suicide after continuous harassment by her husband Sanjay Dutt and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"A patrolling squad in Pune intercepted five individuals, including Karan Johar, on 4th July 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"The Sessions Court of Vadodara found the accused Pankaj Tripathi guilty of murder under Section 302. On 18th May 2025, the accused had murdered his neighbor Maya with a sickle in broad daylight. The court sentenced the convict to life imprisonment."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Pune, the prosecution proved that Manoj Bajpayee deliberately poisoned the meal of Mohan with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Harish Iyer in Delhi. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The complainant alleged that the accused Vijay Yadav running a bogus real estate firm in Vadodara promised to deliver a 2BHK flat. The complainant paid Rs. 1,000,000 on 23rd March 2024, after which the accused locked the office and fled."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 15th August 2024, the police raided a hideout in Hyderabad and arrested four gang members, including Anil Mehta. Stolen jewelry worth Rs. 1,200,000 was recovered. The gang had been habitually committing house thefts in the region."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Pankaj Tripathi running a bogus real estate firm in Nagpur promised to deliver a 2BHK flat. The complainant paid Rs. 1,000,000 on 15th August 2024, after which the accused locked the office and fled."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"On 4th July 2024, the complainant filed an FIR at the women's police station in Surat against Sunil Dutt (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 1,200,000 demanded by the in-laws."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","During a political rally in Patna on 5th November 2023, Arjun Kapoor tried to strangulate Anita with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Harish Iyer misrepresented himself as a registered financial broker and collected Rs. 2,000,000 from the victim Sameer in Thane. He generated fake investment certificates and siphoned the entire capital."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"A land dispute between Manoj Bajpayee and Harish in Bengaluru turned violent. Manoj Bajpayee loaded a hammer and shot Harish from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Sanjay Dutt fired two rounds from a pistol at Harish in Surat due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The complainant alleged that the accused Amit Singh running a bogus real estate firm in Bengaluru promised to deliver a 2BHK flat. The complainant paid Rs. 5,000,000 on 18th May 2025, after which the accused locked the office and fled."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Rohan Das fired two rounds from a iron rod at Abhishek in Chandigarh due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,A gang of habitual car thieves was apprehended in Chandigarh. The accused Aakash Roy was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"On the night of 23rd March 2024, the accused Amit Singh engaged in a heated argument with the victim Komal over a property boundary in Nagpur. The accused subsequently went inside, fetched a dagger, and inflicted multiple blows on the victim's head, causing instant death."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The complainant Gopal filed a complaint in Vadodara alleging that her husband Ramesh Sen and mother-in-law subjected her to severe cruelty since their marriage on 29th September 2024. They repeatedly demanded Rs. 50,000 as additional dowry."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"In Delhi, the police arrested Sunil Dutt for running an online job scam. The accused cheated over fifty youngsters of Rs. 150,000 each, promising them government jobs and issuing fake appointment letters on 4th July 2024."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,A case under Section 498A was registered against Umesh Chandra in Bengaluru. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"On the night of 30th December 2024, the accused Harish Iyer engaged in a heated argument with the victim Maya over a property boundary in Kolkata. The accused subsequently went inside, fetched a pistol, and inflicted multiple blows on the victim's head, causing instant death."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,"In Kanpur, the accused Aakash Roy entered the victim Vivek's residence when she was alone on 5th November 2023 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Suresh Sharma forged ownership documents of a commercial land plot in Patna and sold it to Sameer for Rs. 1,200,000. The fraud was discovered when the victim applied for a building permit."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"The accused Arjun Kapoor suspected his business partner Pooja of embezzlement. On 12th January 2025, Arjun Kapoor lured Pooja to an abandoned warehouse in Patna and strangled him to death. The body was later disposed of in a nearby canal."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,A case under Section 498A was registered against Arjun Kapoor in Amritsar. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"In the jurisdiction of Obour, the prosecution proved that Arjun Kapoor deliberately poisoned the meal of Geeta with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 5th November 2023 at the local hospital."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"In Lucknow, the police arrested Rajesh Kumar for running an online job scam. The accused cheated over fifty youngsters of Rs. 2,000,000 each, promising them government jobs and issuing fake appointment letters on 4th July 2024."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Surat, the prosecution proved that Harish Iyer deliberately poisoned the meal of Raj with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 18th May 2025 at the local hospital."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Rajesh Kumar forged ownership documents of a commercial land plot in Delhi and sold it to Maya for Rs. 75,000. The fraud was discovered when the victim applied for a building permit."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Thane, the prosecution proved that Manoj Bajpayee deliberately poisoned the meal of Sameer with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Rahul Verma in Indore. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Kolkata, the police arrested Aakash Roy for running an online job scam. The accused cheated over fifty youngsters of Rs. 5,000,000 each, promising them government jobs and issuing fake appointment letters on 5th November 2023."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Amit Singh running a bogus real estate firm in Lucknow promised to deliver a 2BHK flat. The complainant paid Rs. 300,000 on 4th July 2024, after which the accused locked the office and fled."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The victim filed a First Information Report (FIR) in Lucknow stating that the accused Arjun Kapoor committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","During a political rally in Jaipur on 15th August 2024, Ramesh Sen tried to strangulate Harish with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Suresh Sharma fired two rounds from a hammer at Maya in Amritsar due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"A charge sheet was filed under Section 302 against Vijay Yadav for the premeditated killing of Meena in Thane. The accused had used a dagger to inflict ten deep wounds, ensuring the death of the victim."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,State vs Karan Johar: The accused was indicted under Section 302 for the murder of Abhishek in Bengaluru. Eyewitness testimonies and the recovery of the hammer at the instance of the accused established guilt beyond reasonable doubt.
401,Apprehension of active gang members committing habitual housebreaking and theft.,A gang of habitual car thieves was apprehended in Obour. The accused Suresh Sharma was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The complainant Anita filed a complaint in Lucknow alleging that her husband Sanjay Dutt and mother-in-law subjected her to severe cruelty since their marriage on 18th May 2025. They repeatedly demanded Rs. 2,000,000 as additional dowry."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Amritsar found the accused Karan Johar guilty of murder under Section 302. On 18th May 2025, the accused had murdered his neighbor Radha with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Deepak Gupta forged ownership documents of a commercial land plot in Kolkata and sold it to Harish for Rs. 2,000,000. The fraud was discovered when the victim applied for a building permit."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"In Kanpur, the police arrested Vikram Rathore for running an online job scam. The accused cheated over fifty youngsters of Rs. 5,000,000 each, promising them government jobs and issuing fake appointment letters on 15th August 2024."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Nagpur found the accused Umesh Chandra guilty of murder under Section 302. On 5th November 2023, the accused had murdered his neighbor Harish with a pistol in broad daylight. The court sentenced the convict to life imprisonment."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The complainant Divya filed a complaint in Patna alleging that her husband Vikram Rathore and mother-in-law subjected her to severe cruelty since their marriage on 5th November 2023. They repeatedly demanded Rs. 2,000,000 as additional dowry."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The victim filed a First Information Report (FIR) in Indore stating that the accused Manoj Bajpayee committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The complainant alleged that the accused Manish Paul running a bogus real estate firm in Hyderabad promised to deliver a 2BHK flat. The complainant paid Rs. 800,000 on 30th December 2024, after which the accused locked the office and fled."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The trial court convicted Sunil Dutt under Section 376 for the gang rape/rape of the survivor in Lucknow. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","The accused Vikram Rathore mixed pesticide in the tea served to Anita in Amritsar. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Suresh Sharma for the premeditated killing of Alok in Ahmedabad. The accused had used a iron rod to inflict ten deep wounds, ensuring the death of the victim."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Sanjay Dutt for the premeditated killing of Divya in Ahmedabad. The accused had used a sharp knife to inflict ten deep wounds, ensuring the death of the victim."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Sanjay Dutt in Kolkata. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","A patrolling squad in Amritsar intercepted five individuals, including Sunil Dutt, on 10th October 2023. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Vikram Rathore running a bogus real estate firm in Ahmedabad promised to deliver a 2BHK flat. The complainant paid Rs. 5,000,000 on 15th August 2024, after which the accused locked the office and fled."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 23rd March 2024, the complainant filed an FIR at the women's police station in Lucknow against Vijay Yadav (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 5,000,000 demanded by the in-laws."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Thane found the accused Manoj Bajpayee guilty of murder under Section 302. On 4th July 2024, the accused had murdered his neighbor Sameer with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Deepak Gupta misrepresented himself as a registered financial broker and collected Rs. 150,000 from the victim Raj in Thane. He generated fake investment certificates and siphoned the entire capital."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"In the jurisdiction of Pune, the prosecution proved that Harish Iyer deliberately poisoned the meal of Sameer with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 15th August 2024 at the local hospital."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,The High Court upheld the life sentence of Amit Singh for committing murder under Section 302. The victim Geeta was brutally beaten to death in Chandigarh over an ancestral family feud on 18th May 2025.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","On 30th December 2024, the accused Rahul Verma intercepted the victim Anita in Ahmedabad and stabbed him in the abdomen with a wooden stick. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,The High Court upheld the life sentence of Amit Singh for committing murder under Section 302. The victim Mohan was brutally beaten to death in Patna over an ancestral family feud on 10th October 2023.
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 23rd March 2024, the complainant filed an FIR at the women's police station in Kanpur against Harish Iyer (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 5,000,000 demanded by the in-laws."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Pune. The accused Sunil Dutt was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Manoj Bajpayee suspected his business partner Abhishek of embezzlement. On 18th May 2025, Manoj Bajpayee lured Abhishek to an abandoned warehouse in Amritsar and strangled him to death. The body was later disposed of in a nearby canal."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Manoj Bajpayee forged ownership documents of a commercial land plot in Vadodara and sold it to Kiran for Rs. 2,000,000. The fraud was discovered when the victim applied for a building permit."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Vijay Yadav in Obour. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"The police busted an active criminal gang in Delhi that specialized in highway thefts. The accused Manoj Bajpayee and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The complainant alleged that the accused Anil Mehta running a bogus real estate firm in Kolkata promised to deliver a 2BHK flat. The complainant paid Rs. 75,000 on 18th May 2025, after which the accused locked the office and fled."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The complainant alleged that the accused Rahul Verma running a bogus real estate firm in Indore promised to deliver a 2BHK flat. The complainant paid Rs. 1,200,000 on 12th January 2025, after which the accused locked the office and fled."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Sanjay Dutt in Kanpur. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The trial court convicted Harish Iyer under Section 376 for the gang rape/rape of the survivor in Nagpur. The survivor testified that the accused abducted her on 30th December 2024 and committed the heinous offense in a moving vehicle.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","On 15th August 2024, the accused Anil Mehta intercepted the victim Kiran in Bhopal and stabbed him in the abdomen with a dagger. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","During a political rally in Chandigarh on 10th October 2023, Ramesh Sen tried to strangulate Vivek with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,The High Court upheld the life sentence of Sanjay Dutt for committing murder under Section 302. The victim Gopal was brutally beaten to death in Nagpur over an ancestral family feud on 4th July 2024.
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,"A charge sheet was filed under Section 302 against Vijay Yadav for the premeditated killing of Raj in Lucknow. The accused had used a hammer to inflict ten deep wounds, ensuring the death of the victim."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.",The accused Suresh Sharma fired two rounds from a hammer at Divya in Mumbai due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,The High Court upheld the life sentence of Aakash Roy for committing murder under Section 302. The victim Alok was brutally beaten to death in Patna over an ancestral family feud on 23rd March 2024.
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Amit Singh in Vadodara. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","On 18th May 2025, the accused Sanjay Dutt intercepted the victim Divya in Obour and stabbed him in the abdomen with a sharp knife. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Lucknow, the prosecution proved that Sanjay Dutt deliberately poisoned the meal of Raj with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 30th December 2024 at the local hospital."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","On 12th January 2025, the accused Rohan Das intercepted the victim Geeta in Jaipur and stabbed him in the abdomen with a wooden stick. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Harish Iyer forged ownership documents of a commercial land plot in Patna and sold it to Pooja for Rs. 75,000. The fraud was discovered when the victim applied for a building permit."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","The police busted an active criminal gang in Amritsar that specialized in highway thefts. The accused Vikram Rathore and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Obour, the accused Rajesh Kumar entered the victim Sandeep's residence when she was alone on 12th January 2025 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"The accused Vikram Rathore suspected his business partner Meena of embezzlement. On 18th May 2025, Vikram Rathore lured Meena to an abandoned warehouse in Amritsar and strangled him to death. The body was later disposed of in a nearby canal."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 23rd March 2024, the accused Manish Paul intercepted the victim Kiran in Kolkata and stabbed him in the abdomen with a wooden stick. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Aakash Roy under Section 376 for the gang rape/rape of the survivor in Bengaluru. The survivor testified that the accused abducted her on 18th May 2025 and committed the heinous offense in a moving vehicle.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Sanjay Dutt fired two rounds from a sickle at Komal in Kanpur due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Aakash Roy in Lucknow. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Rahul Verma misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Komal in Kolkata. He generated fake investment certificates and siphoned the entire capital."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The trial court convicted Deepak Gupta under Section 376 for the gang rape/rape of the survivor in Surat. The survivor testified that the accused abducted her on 4th July 2024 and committed the heinous offense in a moving vehicle.
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Anil Mehta in Nagpur. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Suresh Sharma forged ownership documents of a commercial land plot in Obour and sold it to Kiran for Rs. 1,200,000. The fraud was discovered when the victim applied for a building permit."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Vikram Rathore mixed pesticide in the tea served to Abhishek in Kolkata. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,A gang of habitual car thieves was apprehended in Pune. The accused Aakash Roy was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
